source,label_s,target,label_t

https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100201,A 1
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100202,A 2
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100203,A 3
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100204,A 4
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100205,A 5 a
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100206,A 5 b
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100207,A 5 c
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100208,A 8
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100209,A 9
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100210,A 10
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100211,A 12
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100212,A 13
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100213,A 22 a
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100214,A 24
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100215,A 27
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100218,A 33
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100219,A 34
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100220,A 36
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100221,A 37
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100222,A 38
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100223,A 43
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100224,A 44
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100225,A 49
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100226,A 54
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100227,A 57
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100228,A 58
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100229,A 61
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100230,A 62
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100231,A 62 a
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100232,A 65
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100234,A 80
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100235,A 81
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100236,A 82
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100237,A 82 a
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100521,A 107
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100239,A 108
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100240,A 110
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100241,A 111
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100242,A 114
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100243,A 115
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100244,A 116
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100245,A 117
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100246,A 118
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100247,A 119
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100248,A 120
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100249,A 122
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100250,A 123
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100251,A 124
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100253,B 1
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100254,B 2
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100255,B 3
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100256,B 4
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100257,B 5 a
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100258,B 5 b
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100259,B 6
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100260,B 7
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100261,B 8
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100262,B 9
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100263,B 10
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100264,B 11
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100265,B 12
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100266,B 13
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100267,B 14
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100268,B 15
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100269,B 16
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100270,B 17
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100272,B 19
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100273,B 22
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100275,B 23 a
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100276,B 24
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100277,B 32
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100278,B 33
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100279,B 34
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100280,B 35
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100281,B 36
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100282,B 40
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100283,B 42
https://www.manuscripta.se/org/100004,National Library of Sweden,../ms/100284,B 44
