source,label_s,target,label_t
https://www.manuscripta.se/org/100003,Riksbankens jubileumsfond – The Swedish Foundation for Humanities and Social Sciences,https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal
https://www.manuscripta.se/org/100004,National Library of Sweden,https://viaf.org/viaf/306472595,https://viaf.org/viaf/306472595
https://www.manuscripta.se/org/100004,National Library of Sweden,https://www.wikidata.org/wiki/Q953058,https://www.wikidata.org/wiki/Q953058
https://www.manuscripta.se/org/100004,National Library of Sweden,https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal
https://www.manuscripta.se/org/100005,TTT: Text till tiden! Medeltida texter i kontext – då och nu,https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal
https://www.manuscripta.se/org/100006,Kungl. Vitterhets Historie och Antikvitets Akademien,https://viaf.org/viaf/140273226,https://viaf.org/viaf/140273226
https://www.manuscripta.se/org/100006,Kungl. Vitterhets Historie och Antikvitets Akademien,https://www.wikidata.org/wiki/Q1792159,https://www.wikidata.org/wiki/Q1792159
https://www.manuscripta.se/org/100006,Kungl. Vitterhets Historie och Antikvitets Akademien,https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal
https://www.manuscripta.se/org/100011,Uppsala University,https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal
https://www.manuscripta.se/org/100051,Paris__ Bibliothèque Royale [de France],https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal
https://www.manuscripta.se/org/100053,Brahiska och Wrangelska Manuscriptsamlingen Skokloster,https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal
https://www.manuscripta.se/org/100054,Säby fidekommiss__ Aspö socken__ Lagnö,https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal
https://www.manuscripta.se/org/100055,Strängnäs__ Roggebiblioteket (Kungl. biblioteket),https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal
https://www.manuscripta.se/org/100059,Antikvitetsarkivet,https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal
https://www.manuscripta.se/org/100060,Antikvitetskollegium,https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal
https://www.manuscripta.se/org/100061,Arboga rådhusarkiv,https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal
https://www.manuscripta.se/org/100064,Stockholm__ Franciskanerkonventet,https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal
https://www.manuscripta.se/org/100065,Gille i Gärds härad,https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal
https://www.manuscripta.se/org/100066,Stockholm__ Guldsmedsämbetet,https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal
https://www.manuscripta.se/org/100068,Hälsninglands underlagmansdöme,https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal
