source,label_s,target,label_t
https://www.manuscripta.se/place/100036,Italy,/,Home
https://www.manuscripta.se/place/100036,Italy,/search,Search
https://www.manuscripta.se/place/100036,Italy,https://www.wikidata.org/wiki/Q38,https://www.wikidata.org/wiki/Q38
https://www.manuscripta.se/place/100036,Italy,https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal
https://www.manuscripta.se/place/100036,Italy,../ms/100357,X 501
https://www.manuscripta.se/place/100036,Italy,../ms/100358,X 502
https://www.manuscripta.se/place/100036,Italy,../ms/100005,Gr. 5
https://www.manuscripta.se/place/100040,National Library of Sweden,/,Home
https://www.manuscripta.se/place/100040,National Library of Sweden,/search,Search
https://www.manuscripta.se/place/100040,National Library of Sweden,https://www.wikidata.org/wiki/Q953058,https://www.wikidata.org/wiki/Q953058
https://www.manuscripta.se/place/100040,National Library of Sweden,https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal
https://www.manuscripta.se/place/100040,National Library of Sweden,../ms/100501,A 135
https://www.manuscripta.se/place/100070,Rome,/,Home
https://www.manuscripta.se/place/100070,Rome,/search,Search
https://www.manuscripta.se/place/100070,Rome,https://www.wikidata.org/wiki/Q220,https://www.wikidata.org/wiki/Q220
https://www.manuscripta.se/place/100070,Rome,https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal
https://www.manuscripta.se/place/100070,Rome,../ms/100357,X 501
https://www.manuscripta.se/place/100070,Rome,../ms/100358,X 502
https://www.manuscripta.se/place/100078,Stockholm,/,Home
https://www.manuscripta.se/place/100078,Stockholm,/search,Search
https://www.manuscripta.se/place/100078,Stockholm,https://www.wikidata.org/wiki/Q1754,https://www.wikidata.org/wiki/Q1754
https://www.manuscripta.se/place/100078,Stockholm,https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal
https://www.manuscripta.se/place/100078,Stockholm,../ms/100521,A 107
https://www.manuscripta.se/place/100078,Stockholm,../ms/100315,B 154
https://www.manuscripta.se/place/100078,Stockholm,../ms/100341,B 590
https://www.manuscripta.se/place/100078,Stockholm,../ms/100342,B 594
https://www.manuscripta.se/place/100078,Stockholm,../ms/100343,B 597
https://www.manuscripta.se/place/100078,Stockholm,../ms/100344,B 601
https://www.manuscripta.se/place/100078,Stockholm,../ms/100345,B 607
https://www.manuscripta.se/place/100078,Stockholm,../ms/100566,Rogge Wrangel
https://www.manuscripta.se/place/100078,Stockholm,../ms/100028,Gr. 28A
https://www.manuscripta.se/place/100078,Stockholm,../ms/100029,Gr. 28B
https://www.manuscripta.se/place/100078,Stockholm,../ms/100369,B 21
https://www.manuscripta.se/place/100081,Sweden,/,Home
https://www.manuscripta.se/place/100081,Sweden,/search,Search
https://www.manuscripta.se/place/100081,Sweden,https://www.geonames.org/2661886,https://www.geonames.org/2661886
https://www.manuscripta.se/place/100081,Sweden,https://www.wikidata.org/wiki/Q34,https://www.wikidata.org/wiki/Q34
https://www.manuscripta.se/place/100081,Sweden,https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0 Universal
https://www.manuscripta.se/place/100081,Sweden,../ms/100201,A 1
https://www.manuscripta.se/place/100081,Sweden,../ms/100202,A 2
https://www.manuscripta.se/place/100081,Sweden,../ms/100203,A 3
https://www.manuscripta.se/place/100081,Sweden,../ms/100204,A 4
https://www.manuscripta.se/place/100081,Sweden,../ms/100463,A 4 a
https://www.manuscripta.se/place/100081,Sweden,../ms/100205,A 5 a
https://www.manuscripta.se/place/100081,Sweden,../ms/100206,A 5 b
https://www.manuscripta.se/place/100081,Sweden,../ms/100207,A 5 c
https://www.manuscripta.se/place/100081,Sweden,../ms/100208,A 8
https://www.manuscripta.se/place/100081,Sweden,../ms/100209,A 9
https://www.manuscripta.se/place/100081,Sweden,../ms/100210,A 10
https://www.manuscripta.se/place/100081,Sweden,../ms/100211,A 12
https://www.manuscripta.se/place/100081,Sweden,../ms/100212,A 13
https://www.manuscripta.se/place/100081,Sweden,../ms/100213,A 22 a
https://www.manuscripta.se/place/100081,Sweden,../ms/100214,A 24
https://www.manuscripta.se/place/100081,Sweden,../ms/100215,A 27
https://www.manuscripta.se/place/100081,Sweden,../ms/100218,A 33
https://www.manuscripta.se/place/100081,Sweden,../ms/100219,A 34
https://www.manuscripta.se/place/100081,Sweden,../ms/100220,A 36
https://www.manuscripta.se/place/100081,Sweden,../ms/100221,A 37
https://www.manuscripta.se/place/100081,Sweden,../ms/100222,A 38
https://www.manuscripta.se/place/100081,Sweden,../ms/100223,A 43
https://www.manuscripta.se/place/100081,Sweden,../ms/100224,A 44
https://www.manuscripta.se/place/100081,Sweden,../ms/100225,A 49
https://www.manuscripta.se/place/100081,Sweden,../ms/100226,A 54
https://www.manuscripta.se/place/100081,Sweden,../ms/100227,A 57
https://www.manuscripta.se/place/100081,Sweden,../ms/100228,A 58
https://www.manuscripta.se/place/100081,Sweden,../ms/100229,A 61
https://www.manuscripta.se/place/100081,Sweden,../ms/100230,A 62
https://www.manuscripta.se/place/100081,Sweden,../ms/100234,A 80
https://www.manuscripta.se/place/100081,Sweden,../ms/100235,A 81
https://www.manuscripta.se/place/100081,Sweden,../ms/100236,A 82
https://www.manuscripta.se/place/100081,Sweden,../ms/100237,A 82 a
https://www.manuscripta.se/place/100081,Sweden,../ms/100521,A 107
https://www.manuscripta.se/place/100081,Sweden,../ms/100239,A 108
https://www.manuscripta.se/place/100081,Sweden,../ms/100240,A 110
https://www.manuscripta.se/place/100081,Sweden,../ms/100241,A 111
https://www.manuscripta.se/place/100081,Sweden,../ms/100242,A 114
https://www.manuscripta.se/place/100081,Sweden,../ms/100243,A 115
