source_label,source,target_label,target
Search=SWEDISH,https://handrit.is/en/search/results/N79JKC,AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191
Search=SWEDISH,https://handrit.is/en/search/results/N79JKC,AM 51 4to,https://handrit.is/en/manuscript/view/AM04-0051
Search=SWEDISH,https://handrit.is/en/search/results/N79JKC,AM 49 4to,https://handrit.is/en/manuscript/view/AM04-0049
Search=SWEDISH,https://handrit.is/en/search/results/N79JKC,AM 45 4to,https://handrit.is/en/manuscript/view/AM04-0045
Search=SWEDISH,https://handrit.is/en/search/results/N79JKC,AM 46 4to,https://handrit.is/en/manuscript/view/AM04-0046
Search=SWEDISH,https://handrit.is/en/search/results/N79JKC,AM 899 4to,https://handrit.is/en/manuscript/view/AM04-0899
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,More Details,https://handrit.is/en/biography/view/EliBre001
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,Ethics,https://handrit.is/en/manuscript/list/keyword/sidfr
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,No Title,https://handrit.is/en/manuscript/view/AM02-0191
AM 51 4to,https://handrit.is/en/manuscript/view/AM04-0051,Jordabalken,https://handrit.is/en/manuscript/view/AM04-0051
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,King Alexander,https://handrit.is/en/manuscript/view/AM02-0191
AM 51 4to,https://handrit.is/en/manuscript/view/AM04-0051,Law Text,https://handrit.is/en/manuscript/view/AM04-0051
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,Seven Wise Masters,https://handrit.is/en/manuscript/view/AM02-0191
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,Floris and Blancheflour,https://handrit.is/en/manuscript/view/AM02-0191
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,Schacktavelslek,https://handrit.is/en/manuscript/view/AM02-0191
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,Prosaiska krönikan,https://handrit.is/en/manuscript/view/AM02-0191
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,The book of King Charlemagne,https://handrit.is/en/manuscript/view/AM02-0191
AM 49 4to,https://handrit.is/en/manuscript/view/AM04-0049,More Details,https://handrit.is/en/biography/view/ElsBra001
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,Lilla rimkrönikan,https://handrit.is/en/manuscript/view/AM02-0191
AM 51 4to,https://handrit.is/en/manuscript/view/AM04-0051,Contents,https://handrit.is/en/manuscript/view/AM04-0051
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,A prayer to the Virgin,https://handrit.is/en/manuscript/view/AM02-0191
AM 46 4to,https://handrit.is/en/manuscript/view/AM04-0046,King Magnus Eriksson's National Law (for Sweden),https://handrit.is/en/manuscript/view/AM04-0046
AM 51 4to,https://handrit.is/en/manuscript/view/AM04-0051,Såramålsbalken I (om sår med vilja),https://handrit.is/en/manuscript/view/AM04-0051
AM 51 4to,https://handrit.is/en/manuscript/view/AM04-0051,Dråpamålsbalken (om dråp av våda),https://handrit.is/en/manuscript/view/AM04-0051
AM 49 4to,https://handrit.is/en/manuscript/view/AM04-0049,Law,https://handrit.is/en/manuscript/list/keyword/logfr
AM 45 4to,https://handrit.is/en/manuscript/view/AM04-0045,Thirty Days of Each Month,https://handrit.is/en/manuscript/view/AM04-0045
AM 51 4to,https://handrit.is/en/manuscript/view/AM04-0051,King Magnus Eriksson's National Law (for Sweden),https://handrit.is/en/manuscript/view/AM04-0051
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,Afterword,https://handrit.is/en/manuscript/view/AM02-0191
AM 45 4to,https://handrit.is/en/manuscript/view/AM04-0045,On the Architecture of Germanic-Roman Empire,https://handrit.is/en/manuscript/view/AM04-0045
AM 51 4to,https://handrit.is/en/manuscript/view/AM04-0051,Dråpamålsbalken I (om dråp med vilja),https://handrit.is/en/manuscript/view/AM04-0051
AM 51 4to,https://handrit.is/en/manuscript/view/AM04-0051,Kyrkobalken (Smålandslovens kristnubalk),https://handrit.is/en/manuscript/view/AM04-0051
AM 51 4to,https://handrit.is/en/manuscript/view/AM04-0051,Tjuvabalken,https://handrit.is/en/manuscript/view/AM04-0051
AM 46 4to,https://handrit.is/en/manuscript/view/AM04-0046,Nine Articles passed by King Gustav and the Cou...,https://handrit.is/en/manuscript/view/AM04-0046
AM 46 4to,https://handrit.is/en/manuscript/view/AM04-0046,"Konung Magnus Erikssons Landslag. Codex juris communis Sueciæ Magnæanus, Corpus juris Sueo-Gotorum antiqui: Samling af Sweriges Gamla Lagar",https://handrit.is/en/bibliography/view/CorpJur10
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,Mnemonic,https://handrit.is/en/manuscript/view/AM02-0191
AM 51 4to,https://handrit.is/en/manuscript/view/AM04-0051,Konungsbalken,https://handrit.is/en/manuscript/view/AM04-0051
AM 46 4to,https://handrit.is/en/manuscript/view/AM04-0046,,https://handrit.is/en/manuscript/list/keyword/kvad
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,Prose romances,https://handrit.is/en/manuscript/list/keyword/ridd
AM 45 4to,https://handrit.is/en/manuscript/view/AM04-0045,Almanacs,https://handrit.is/en/manuscript/list/keyword/alm
AM 46 4to,https://handrit.is/en/manuscript/view/AM04-0046,Laws,https://handrit.is/en/manuscript/list/keyword/log
AM 51 4to,https://handrit.is/en/manuscript/view/AM04-0051,Rättegångsbalken,https://handrit.is/en/manuscript/view/AM04-0051
AM 45 4to,https://handrit.is/en/manuscript/view/AM04-0045,Remedies,https://handrit.is/en/manuscript/view/AM04-0045
AM 51 4to,https://handrit.is/en/manuscript/view/AM04-0051,Högmålsbalken,https://handrit.is/en/manuscript/view/AM04-0051
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,Hagiography,https://handrit.is/en/manuscript/list/keyword/helgiso
AM 46 4to,https://handrit.is/en/manuscript/view/AM04-0046,Om Edens Betydning,https://handrit.is/en/manuscript/view/AM04-0046
AM 51 4to,https://handrit.is/en/manuscript/view/AM04-0051,Giftermålsbalken,https://handrit.is/en/manuscript/view/AM04-0051
AM 51 4to,https://handrit.is/en/manuscript/view/AM04-0051,Ärvdabalken,https://handrit.is/en/manuscript/view/AM04-0051
AM 46 4to,https://handrit.is/en/manuscript/view/AM04-0046,Sweriges gamla Lagar,https://handrit.is/en/bibliography/view/CorpJur3
AM 51 4to,https://handrit.is/en/manuscript/view/AM04-0051,Köpmålabalken,https://handrit.is/en/manuscript/view/AM04-0051
AM 49 4to,https://handrit.is/en/manuscript/view/AM04-0049,The Provincial Law of Uppland: Church Paragraph,https://handrit.is/en/manuscript/view/AM04-0049
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,Pseudo-history,https://handrit.is/en/manuscript/list/keyword/sagnps
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,,https://handrit.is/en/manuscript/list/keyword/ritg
AM 51 4to,https://handrit.is/en/manuscript/view/AM04-0051,Byggningabalk,https://handrit.is/en/manuscript/view/AM04-0051
AM 45 4to,https://handrit.is/en/manuscript/view/AM04-0045,Mass of the Five Wounds,https://handrit.is/en/manuscript/view/AM04-0045
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,Annals,https://handrit.is/en/manuscript/list/keyword/annal
AM 45 4to,https://handrit.is/en/manuscript/view/AM04-0045,Annalistic Notes Concerning the History of Sweden,https://handrit.is/en/manuscript/view/AM04-0045
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,Annalistic notes from 1497,https://handrit.is/en/manuscript/view/AM02-0191
AM 46 4to,https://handrit.is/en/manuscript/view/AM04-0046,Canon law,https://handrit.is/en/manuscript/list/keyword/klog
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,Eelegiac erotic poem,https://handrit.is/en/manuscript/view/AM02-0191
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,"Medeltidens dikter och rim, Samlingar utgivna av Svenska Fornskrift-Sällskapet",https://handrit.is/en/bibliography/view/SUSF25
AM 46 4to,https://handrit.is/en/manuscript/view/AM04-0046,On Severe Offences,https://handrit.is/en/manuscript/view/AM04-0046
AM 45 4to,https://handrit.is/en/manuscript/view/AM04-0045,Masses,https://handrit.is/en/manuscript/list/keyword/tid
AM 51 4to,https://handrit.is/en/manuscript/view/AM04-0051,Såramålsbalken II (om sår av våda),https://handrit.is/en/manuscript/view/AM04-0051
AM 49 4to,https://handrit.is/en/manuscript/view/AM04-0049,More Details,https://handrit.is/en/biography/view/SteBra001
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,St Birgitta and her family,https://handrit.is/en/manuscript/view/AM02-0191
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,De uno peccatore qui promeruit graciam,https://handrit.is/en/manuscript/view/AM02-0191
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,Flores och Blanzaflor,https://handrit.is/en/bibliography/view/SUSF1
AM 46 4to,https://handrit.is/en/manuscript/view/AM04-0046,No Title,https://handrit.is/en/manuscript/view/AM04-0046
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,More Details,https://handrit.is/en/biography/view/JacCes001
AM 46 4to,https://handrit.is/en/manuscript/view/AM04-0046,The Manorial Court Law,https://handrit.is/en/manuscript/view/AM04-0046
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,Gammeldansk Læsebog: en Håndbog i vor ældre Litteratur på Modersmålet,https://handrit.is/en/bibliography/view/GDLaesBr
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,Schacktavelslek och sju vise mästare: De ludo scaccorum. De septem sapientibus. Studier i medeltidens litteraturhistoria,https://handrit.is/en/bibliography/view/Blomqvist1941
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,"Charles, son of Phillip",https://handrit.is/en/manuscript/view/AM02-0191
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,More Details,https://handrit.is/en/biography/view/UlfTel001
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,Amicus and Amelius,https://handrit.is/en/manuscript/view/AM02-0191
AM 51 4to,https://handrit.is/en/manuscript/view/AM04-0051,Edsörebalken,https://handrit.is/en/manuscript/view/AM04-0051
AM 51 4to,https://handrit.is/en/manuscript/view/AM04-0051,More Details,https://handrit.is/en/biography/view/BirDal001
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,De ludo scacchorum seu de moribus hominum et officiis nobilium ac popularium : Poema Suecanum vetustum: E codice manuscripto biblioth. reg. universitatis Havn,https://handrit.is/en/bibliography/view/ludoscacchorum
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,Click for larger,https://handrit.is/en/manuscript/imaging/en/AM02-0191/$B
AM 45 4to,https://handrit.is/en/manuscript/view/AM04-0045,Liturgics,https://handrit.is/en/manuscript/list/keyword/helgs
AM 46 4to,https://handrit.is/en/manuscript/view/AM04-0046,Click for larger,https://handrit.is/en/manuscript/imaging/en/AM04-0046/6v-27r
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,Saint's sagas,https://handrit.is/en/manuscript/list/keyword/hels
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,More Details,https://handrit.is/en/biography/view/EvaWed001
AM 51 4to,https://handrit.is/en/manuscript/view/AM04-0051,Tables of contents / indexes,https://handrit.is/en/manuscript/list/keyword/regist
AM 45 4to,https://handrit.is/en/manuscript/view/AM04-0045,Liturgical text,https://handrit.is/en/manuscript/view/AM04-0045
AM 46 4to,https://handrit.is/en/manuscript/view/AM04-0046,Click for larger,https://handrit.is/en/manuscript/imaging/en/AM04-0046/1v
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,En Syndares Omvändelse: Ett quäde från medeltiden: efter en handskrift på Köpenhamns Universitetsbibliothek första gången udgifvet,https://handrit.is/en/bibliography/view/syndomv
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,Tales/ fairy-tales/ exempla,https://handrit.is/en/manuscript/list/keyword/avint
AM 45 4to,https://handrit.is/en/manuscript/view/AM04-0045,Two Articles from Magnus Eriksson's Town Law,https://handrit.is/en/manuscript/view/AM04-0045
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,Scriptores rerum svecicarum medii aevi,https://handrit.is/en/bibliography/view/SRDMAE
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,Prayers,https://handrit.is/en/manuscript/list/keyword/ban
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,,https://handrit.is/en/manuscript/list/keyword/notes
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,More Details,https://handrit.is/en/biography/view/MarCla001
AM 45 4to,https://handrit.is/en/manuscript/view/AM04-0045,Magnus Eriksson's Town Law,https://handrit.is/en/manuscript/view/AM04-0045
AM 49 4to,https://handrit.is/en/manuscript/view/AM04-0049,Law of the Manorial Court,https://handrit.is/en/manuscript/view/AM04-0049
AM 45 4to,https://handrit.is/en/manuscript/view/AM04-0045,Healing,https://handrit.is/en/manuscript/list/keyword/lakn
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,More Details,https://handrit.is/en/biography/view/VinBel001
AM 49 4to,https://handrit.is/en/manuscript/view/AM04-0049,King Magnus Eriksson's National Law,https://handrit.is/en/manuscript/view/AM04-0049
AM 45 4to,https://handrit.is/en/manuscript/view/AM04-0045,"Skånelagen med Andreas Sunessons latinska bearbetning, Skånska Kyrkarätten och Stadsrätten, samt åtskilliga stadgar för Skåne. Codex Juris Scanici expositio latine conscripta ab Andrea Sunonis f. archiepiscopo Lundensi, Codices juris ecclesiastici ac urbici Scaniae, et statuta diversa Scaniam spectantia, Corpus juris Sueo-Gotorum antiqui: Samling af Sweriges Gamla Lagar",https://handrit.is/en/bibliography/view/CorpJur9
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,More Details,https://handrit.is/en/place/view/Stock01
AM 46 4to,https://handrit.is/en/manuscript/view/AM04-0046,Upplandslagens kyrkobalk,https://handrit.is/en/manuscript/view/AM04-0046
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,Sveriges Medeltidslitteratur,https://handrit.is/en/bibliography/view/medeltidslittVG
AM 46 4to,https://handrit.is/en/manuscript/view/AM04-0046,Click for larger,https://handrit.is/en/manuscript/imaging/en/AM04-0046/2r-6v
AM 51 4to,https://handrit.is/en/manuscript/view/AM04-0051,Sweriges Gamla Lagar,https://handrit.is/en/bibliography/view/CorpJur6
AM 46 4to,https://handrit.is/en/manuscript/view/AM04-0046,Click for larger,https://handrit.is/en/manuscript/imaging/en/AM04-0046/27r-147v
AM 45 4to,https://handrit.is/en/manuscript/view/AM04-0045,More Details,https://handrit.is/en/biography/view/HenHar001
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,More Details,https://handrit.is/en/biography/view/HelTol001
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,Click for larger,https://handrit.is/en/manuscript/imaging/en/AM02-0191/1r-35r
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,More Details,https://handrit.is/en/biography/view/RasNye001
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,More Details,https://handrit.is/en/biography/view/PatAst001
AM 45 4to,https://handrit.is/en/manuscript/view/AM04-0045,Rules for Single Combat,https://handrit.is/en/manuscript/view/AM04-0045
AM 51 4to,https://handrit.is/en/manuscript/view/AM04-0051,More Details,https://handrit.is/en/biography/view/AnnSee001
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,Prosadikter från Sveriges medeltid,https://handrit.is/en/bibliography/view/SUSF28
AM 51 4to,https://handrit.is/en/manuscript/view/AM04-0051,Click for larger,https://handrit.is/en/manuscript/imaging/en/AM04-0051/$B
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,View Images,https://handrit.is/en/manuscript/imaging/en/AM02-0191
AM 51 4to,https://handrit.is/en/manuscript/view/AM04-0051,View Images,https://handrit.is/en/manuscript/imaging/en/AM04-0051
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,(1r-35r:27),https://handrit.is/en/manuscript/imaging/en/AM02-0191/1r-35r:27
AM 46 4to,https://handrit.is/en/manuscript/view/AM04-0046,More Details,https://handrit.is/en/biography/view/FreRos001
AM 51 4to,https://handrit.is/en/manuscript/view/AM04-0051,More Details,https://handrit.is/en/place/view/Azore01
AM 46 4to,https://handrit.is/en/manuscript/view/AM04-0046,Click for larger,https://handrit.is/en/manuscript/imaging/en/AM04-0046/148v-163v
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,More Details,https://handrit.is/en/biography/view/JohGer001
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,More Details,https://handrit.is/en/place/view/Askab01
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,More Details,https://handrit.is/en/biography/view/Bjoooo001
AM 46 4to,https://handrit.is/en/manuscript/view/AM04-0046,Sweriges Gamla Lagar 11,https://handrit.is/en/bibliography/view/CorpJur11
AM 46 4to,https://handrit.is/en/manuscript/view/AM04-0046,Click for larger,https://handrit.is/en/manuscript/imaging/en/AM04-0046/164r-165r
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,Chess,https://handrit.is/en/manuscript/list/keyword/skak
AM 46 4to,https://handrit.is/en/manuscript/view/AM04-0046,View Images,https://handrit.is/en/manuscript/imaging/en/AM04-0046
AM 191 fol.,https://handrit.is/en/manuscript/view/AM02-0191,"Sveriges dramatiska litteratur till och med 1875, Samlingar utgivna av Svenska Fornskrift-Sällskapet",https://handrit.is/en/bibliography/view/SUSF21
AM 46 4to,https://handrit.is/en/manuscript/view/AM04-0046,Click for larger,https://handrit.is/en/manuscript/imaging/en/AM04-0046/147v-148v
