web-scraper-order,web-scraper-start-url,shelfmark,shelfmark-href,all_link,all_link-href,h3_date,h3_startdate,h3_enddate,sub-all_link,sub-all_link-href
"1642687061-1677","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","Upplandslagens kyrkobalk","https://handrit.is/en/manuscript/view/AM04-0046#section_4","1485-1499","1485","1499","(1v)","https://handrit.is/en/manuscript/imaging/en/AM04-0046/1v#content"
"1642686989-1101","https://handrit.is/en/search/results/2YLppK","AM 200 fol.","https://handrit.is/en/manuscript/view/AM02-0200","No Title","https://handrit.is/en/manuscript/view/AM02-0200#section_1","1590-1610","1590","1610","Send Feedback on Manuscript","https://handrit.is/en/popup/feedback/en/AM02-0200"
"1642686966-909","https://handrit.is/en/search/results/2YLppK","AM 201 fol.","https://handrit.is/en/manuscript/view/AM02-0201","Katalog over Den Arnamagnæanske Håndskriftsamling","https://handrit.is/en/bibliography/view/KKKat","1600-1650","1600","1650","Acc. 4 c I[6]","https://handrit.is/en/manuscript/view/Acc-0004-c-I-6"
"1642686989-1099","https://handrit.is/en/search/results/2YLppK","AM 200 fol.","https://handrit.is/en/manuscript/view/AM02-0200","No Title","https://handrit.is/en/manuscript/view/AM02-0200#section_1","1590-1610","1590","1610","","https://handrit.is/en/manuscript/list/keyword/sagnfr"
"1642687093-2245","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","More Details","https://handrit.is/en/biography/view/FreRos001","1485-1499","1485","1499","AM 9 4to","https://handrit.is/en/manuscript/view/AM04-0009"
"1642686978-1030","https://handrit.is/en/search/results/2YLppK","AM 201 fol.","https://handrit.is/en/manuscript/view/AM02-0201","","https://handrit.is/en/manuscript/view.outerlayout.language/is?t:ac=en/AM02-0201","1600-1650","1600","1650","Leita","https://handrit.is/is/search/regular"
"1642687061-1656","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","Upplandslagens kyrkobalk","https://handrit.is/en/manuscript/view/AM04-0046#section_4","1485-1499","1485","1499","High Quality","https://myndir.handrit.is/file/Handrit.is/AM%2046%204to/2/HIGH_QUALITY_DISPLAY"
"1642686919-308","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","No Title","https://handrit.is/en/manuscript/view/Rask115#section_1","1818","1818","null","No Title","https://handrit.is/en/manuscript/view/Rask115#section_1"
"1642687048-1350","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","«","https://handrit.is/en/manuscript/view/en/AM04-0045","1485-1499","1485","1499","Almanacs","https://handrit.is/en/manuscript/list/keyword/alm"
"1642686986-1064","https://handrit.is/en/search/results/2YLppK","AM 200 fol.","https://handrit.is/en/manuscript/view/AM02-0200","«","https://handrit.is/en/manuscript/view/en/AM02-020-h","1590-1610","1590","1610","Search","https://handrit.is/en/search/regular"
