source_label,source,target_label,target
"Upplandslagens kyrkobalk",https://handrit.is/en/manuscript/view/AM04-0046#section_4,(1v),https://handrit.is/en/manuscript/imaging/en/AM04-0046/1v#content
"No Title",https://handrit.is/en/manuscript/view/AM02-0200#section_1,"Send Feedback on Manuscript",https://handrit.is/en/popup/feedback/en/AM02-0200
"Katalog over Den Arnamagnæanske Håndskriftsamling",https://handrit.is/en/bibliography/view/KKKat,"Acc. 4 c I[6]",https://handrit.is/en/manuscript/view/Acc-0004-c-I-6
"No Title",https://handrit.is/en/manuscript/view/AM02-0200#section_1,,https://handrit.is/en/manuscript/list/keyword/sagnfr
"More Details",https://handrit.is/en/biography/view/FreRos001,"AM 9 4to",https://handrit.is/en/manuscript/view/AM04-0009
,https://handrit.is/en/manuscript/view.outerlayout.language/is?t:ac=en/AM02-0201,Leita,https://handrit.is/is/search/regular
"Upplandslagens kyrkobalk",https://handrit.is/en/manuscript/view/AM04-0046#section_4,"High Quality",https://myndir.handrit.is/file/Handrit.is/AM%2046%204to/2/HIGH_QUALITY_DISPLAY
"No Title",https://handrit.is/en/manuscript/view/Rask115#section_1,"No Title",https://handrit.is/en/manuscript/view/Rask115#section_1
«,https://handrit.is/en/manuscript/view/en/AM04-0045,Almanacs,https://handrit.is/en/manuscript/list/keyword/alm
«,https://handrit.is/en/manuscript/view/en/AM02-020-h,Search,https://handrit.is/en/search/regular
»,https://handrit.is/en/manuscript/view/en/AM04-0354,"Mythical-heroic sagas",https://handrit.is/en/manuscript/list/keyword/fas
"King Magnus Eriksson's National Law (for Sweden)",https://handrit.is/en/manuscript/view/AM04-0046#section_5,"High Quality",https://myndir.handrit.is/file/Handrit.is/AM%2046%204to/53/HIGH_QUALITY_DISPLAY
,https://handrit.is/en/manuscript/list/keyword/sagnfr,,https://handrit.is/en/manuscript/imaging/en/AM02-0191
»,https://handrit.is/en/manuscript/view/en/Rask116,Browse,https://handrit.is/en/manuscript/browse/uniform
»,https://handrit.is/en/manuscript/view/en/Rask116,,https://handrit.is/en/manuscript/view.outerlayout.language/is?t:ac=en/Rask116
"The Manorial Court Law",https://handrit.is/en/manuscript/view/AM04-0046#section_3,"More Details",https://handrit.is/en/biography/view/FreRos001
"Om Edens Betydning",https://handrit.is/en/manuscript/view/AM04-0046#section_2,"Konung Magnus Erikssons Landslag. Codex juris communis Sueciæ Magnæanus, Corpus juris Sueo-Gotorum antiqui: Samling af Sweriges Gamla Lagar",https://handrit.is/en/bibliography/view/CorpJur10
Browse,https://handrit.is/en/manuscript/browse/uniform,"Að morgni þegar ég árla uppstá",https://handrit.is/en/manuscript/list/uniform?v=A%C3%B0+morgni+%C3%BEegar+%C3%A9g+%C3%A1rla+uppst%C3%A1
"Om Edens Betydning",https://handrit.is/en/manuscript/view/AM04-0046#section_2,Standard,https://myndir.handrit.is/file/Handrit.is/AM%2046%204to/294/WEB_DISPLAY
"No Title",https://handrit.is/en/manuscript/view/AM04-0046#section_1,"On Severe Offences",https://handrit.is/en/manuscript/view/AM04-0046#section_6
handrit.is,https://handrit.is/en/,"View All",https://handrit.is/en/manuscript/list/collection/JSFragm
Laws,https://handrit.is/en/manuscript/list/keyword/log,2,https://handrit.is/en/manuscript/list.browser.pager/2?t:ac=keyword/log
"Katalog over Den Arnamagnæanske Håndskriftsamling",https://handrit.is/en/bibliography/view/KKKat,handrit.is,https://handrit.is/en/
handrit.is,https://handrit.is/en/,"AM 66 fol.",https://handrit.is/en/manuscript/view/AM02-066
,https://handrit.is/en/manuscript/list/keyword/kvad,,https://handrit.is/en/manuscript/view/is/AM02-0249g
